,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,1,27,1,266497693552828,266497693552828_744949435707649,2017-10-20
1,14,57,2,266497693552828,266497693552828_738688416333751,2017-10-05
2,0,9,1,266497693552828,266497693552828_736275476575045,2017-09-29
3,2,73,5,266497693552828,266497693552828_733382826864310,2017-09-22
4,1,22,3,266497693552828,266497693552828_733375046865088,2017-09-21
5,32,11191,100,266497693552828,266497693552828_732616390274287,2017-09-21
6,16,135,10,266497693552828,266497693552828_732572423612017,2017-09-20
7,3,38,2,266497693552828,266497693552828_732336796968913,2017-09-19
8,3,47,3,266497693552828,266497693552828_731603367042256,2017-09-17
