,page_id,post_id,reaction_type,user_id
0,443407605824138,443407605824138_652537928244437,LIKE,10152249172886065
1,443407605824138,443407605824138_652537928244437,LIKE,10155281028285434
2,443407605824138,443407605824138_652537928244437,LIKE,10153290719848056
3,443407605824138,443407605824138_652537928244437,LOVE,10152609769967987
4,443407605824138,443407605824138_652537928244437,LIKE,10204612680988541
5,443407605824138,443407605824138_652537928244437,HAHA,824716154238234
6,443407605824138,443407605824138_652537928244437,LIKE,419830741434670
7,443407605824138,443407605824138_652537928244437,LIKE,1601238266563738
8,443407605824138,443407605824138_652537928244437,LIKE,10153475092249418
9,443407605824138,443407605824138_652537928244437,LIKE,10152294043136275
10,443407605824138,443407605824138_652537928244437,LIKE,10152231932946596
11,443407605824138,443407605824138_652537928244437,LIKE,10153306322143764
12,443407605824138,443407605824138_652537928244437,LIKE,831651760236049
13,443407605824138,443407605824138_652537928244437,LIKE,10203909692397413
14,443407605824138,443407605824138_652537928244437,LIKE,10204260240040716
15,443407605824138,443407605824138_652537928244437,LIKE,326315530907543
16,443407605824138,443407605824138_652537928244437,LIKE,10152669835409410
17,443407605824138,443407605824138_652537928244437,LIKE,893600560692414
18,443407605824138,443407605824138_652537928244437,LIKE,10152196893362116
19,443407605824138,443407605824138_652537928244437,LIKE,443407605824138
20,443407605824138,443407605824138_652537928244437,LIKE,992220827474757
21,443407605824138,443407605824138_652537928244437,LIKE,10153065372803179
22,443407605824138,443407605824138_652537928244437,LIKE,10152889513747090
23,443407605824138,443407605824138_652537928244437,LIKE,1595894830426260
24,443407605824138,443407605824138_652537928244437,LIKE,10153008593730695
25,443407605824138,443407605824138_652537928244437,LIKE,10153078332152453
26,443407605824138,443407605824138_652537928244437,LIKE,1650786248275773
27,443407605824138,443407605824138_652537928244437,LIKE,10152728547254031
28,443407605824138,443407605824138_652537928244437,LIKE,10206236950539959
29,443407605824138,443407605824138_652537928244437,LIKE,10153061541639400
30,443407605824138,443407605824138_652537928244437,LIKE,10204389844695088
31,443407605824138,443407605824138_652537928244437,LIKE,10204389831330744
32,443407605824138,443407605824138_652537928244437,LIKE,10153055196660762
33,443407605824138,443407605824138_652537928244437,LIKE,10204489811477163
34,443407605824138,443407605824138_652537928244437,LIKE,597368770389396
35,443407605824138,443407605824138_652537928244437,LIKE,10152384822945881
36,443407605824138,443407605824138_652537928244437,LIKE,10206595635556019
37,443407605824138,443407605824138_652537928244437,LIKE,10153565444447209
38,443407605824138,443407605824138_652537928244437,LIKE,10152628096561277
39,443407605824138,443407605824138_652537928244437,LIKE,10153297900758272
40,443407605824138,443407605824138_652537928244437,LIKE,10203958600938868
41,443407605824138,443407605824138_652537928244437,LIKE,10152886921999106
42,443407605824138,443407605824138_652537928244437,LIKE,10203564587743671
43,443407605824138,443407605824138_652537928244437,LIKE,10213227780264223
44,443407605824138,443407605824138_523942181104013,LIKE,10152384822945881
45,443407605824138,443407605824138_523942181104013,LIKE,10152889513747090
46,443407605824138,443407605824138_523942181104013,LIKE,10152249172886065
47,443407605824138,443407605824138_523942181104013,LIKE,854285547954557
48,443407605824138,443407605824138_523942181104013,LIKE,861941200497393
49,443407605824138,443407605824138_523942181104013,LIKE,592400527580035
50,443407605824138,443407605824138_523942181104013,LIKE,10153055196660762
51,443407605824138,443407605824138_523942181104013,LIKE,10152801945901539
52,443407605824138,443407605824138_523942181104013,LIKE,10102722992697697
53,443407605824138,443407605824138_523942181104013,LIKE,10153306322143764
54,443407605824138,443407605824138_523942181104013,LIKE,10152294043136275
55,443407605824138,443407605824138_523942181104013,LIKE,868737089860426
56,443407605824138,443407605824138_523942181104013,LIKE,10153008593730695
57,443407605824138,443407605824138_523942181104013,LIKE,10202727055409749
58,443407605824138,443407605824138_523942181104013,LIKE,310053649342836
59,443407605824138,443407605824138_523942181104013,LIKE,1068552689845768
