,page_id,post_id,reaction_type,user_id
0,551268918372423,551268918372423_882695395229772,HAHA,115885218761235
1,551268918372423,551268918372423_882695395229772,LIKE,1466947803570798
2,551268918372423,551268918372423_882695395229772,LIKE,825874254122879
3,551268918372423,551268918372423_882695395229772,LIKE,10204247670333994
4,551268918372423,551268918372423_882695395229772,HAHA,633564543401149
5,551268918372423,551268918372423_882695395229772,LIKE,519672958135761
6,551268918372423,551268918372423_882695395229772,LIKE,927759817274631
7,551268918372423,551268918372423_882695395229772,LIKE,4474398875972
8,551268918372423,551268918372423_882695395229772,LIKE,10152562675613071
9,551268918372423,551268918372423_882695395229772,LIKE,579622448815279
10,551268918372423,551268918372423_882695395229772,LIKE,1132571283426149
11,551268918372423,551268918372423_882695395229772,LIKE,472149269589637
12,551268918372423,551268918372423_882695395229772,LIKE,842482259140101
13,551268918372423,551268918372423_882695395229772,LIKE,929440050500727
14,551268918372423,551268918372423_882695395229772,LIKE,1428459194137348
15,551268918372423,551268918372423_882695395229772,LIKE,10202360648437920
16,551268918372423,551268918372423_882637748568870,LIKE,10152494231444609
17,551268918372423,551268918372423_882637748568870,LIKE,797853383599719
18,551268918372423,551268918372423_882637748568870,LIKE,684036251695681
19,551268918372423,551268918372423_882637748568870,LIKE,816008581762604
20,551268918372423,551268918372423_882637748568870,LIKE,1006946195988135
21,551268918372423,551268918372423_882637748568870,LIKE,325225047635468
22,551268918372423,551268918372423_882637748568870,WOW,689919801069857
23,551268918372423,551268918372423_882637748568870,LIKE,214304965406408
24,551268918372423,551268918372423_882637748568870,LIKE,1413746172252025
25,551268918372423,551268918372423_882637748568870,LIKE,10153249468831552
26,551268918372423,551268918372423_882637748568870,LIKE,1618231365120309
27,551268918372423,551268918372423_882637748568870,LIKE,171070850033132
28,551268918372423,551268918372423_882637748568870,LIKE,904834989548990
29,551268918372423,551268918372423_882637748568870,LIKE,321958114679390
30,551268918372423,551268918372423_882637748568870,LIKE,579622448815279
31,551268918372423,551268918372423_882637748568870,LIKE,1127068807309139
32,551268918372423,551268918372423_882637748568870,LIKE,10152072006232263
33,551268918372423,551268918372423_882637748568870,LIKE,10202282216390895
34,551268918372423,551268918372423_882637748568870,LIKE,852686378089131
35,551268918372423,551268918372423_882637748568870,LIKE,661472710587275
36,551268918372423,551268918372423_882637748568870,LIKE,10152468355157754
37,551268918372423,551268918372423_882637748568870,LIKE,1535394943389654
38,551268918372423,551268918372423_882637748568870,LIKE,280321715755153
39,551268918372423,551268918372423_882637748568870,LIKE,875191462520952
40,551268918372423,551268918372423_882637748568870,WOW,838134019571006
41,551268918372423,551268918372423_882637748568870,LIKE,1015042985194768
42,551268918372423,551268918372423_882637748568870,LIKE,826615327357814
43,551268918372423,551268918372423_882637748568870,LIKE,10152308480701409
44,551268918372423,551268918372423_882637748568870,LIKE,10152562675613071
45,551268918372423,551268918372423_882637748568870,LIKE,836700639706827
46,551268918372423,551268918372423_882637748568870,LIKE,903467899765806
47,551268918372423,551268918372423_882637748568870,LIKE,1132571283426149
48,551268918372423,551268918372423_882637748568870,LIKE,1401691643488282
49,551268918372423,551268918372423_882637748568870,LIKE,10152618301998412
50,551268918372423,551268918372423_882637748568870,LIKE,4999705887223
51,551268918372423,551268918372423_882637748568870,LIKE,160713277664653
52,551268918372423,551268918372423_882637748568870,LIKE,1466947803570798
53,551268918372423,551268918372423_882637748568870,LIKE,1058006300893422
54,551268918372423,551268918372423_882637748568870,LIKE,1499229603690352
55,551268918372423,551268918372423_882637748568870,LIKE,895228890504802
56,551268918372423,551268918372423_881579165341395,LIKE,10204861083749113
57,551268918372423,551268918372423_881579165341395,LIKE,1006146362735312
58,551268918372423,551268918372423_881579165341395,LIKE,703282193086990
59,551268918372423,551268918372423_881579165341395,LIKE,771069252949490
60,551268918372423,551268918372423_881579165341395,LIKE,1132864450064248
61,551268918372423,551268918372423_881579165341395,LIKE,938137629587036
62,551268918372423,551268918372423_881579165341395,LIKE,740144806081339
63,551268918372423,551268918372423_881579165341395,LIKE,1441976709446465
64,551268918372423,551268918372423_881579165341395,LIKE,362541850580172
65,551268918372423,551268918372423_881579165341395,LIKE,214385822345641
66,551268918372423,551268918372423_881579165341395,LIKE,749833625053275
67,551268918372423,551268918372423_881579165341395,LIKE,1424863864497775
68,551268918372423,551268918372423_881579165341395,LIKE,10203107846610146
69,551268918372423,551268918372423_881579165341395,LIKE,818709278187137
70,551268918372423,551268918372423_881579165341395,LOVE,10202791700495016
71,551268918372423,551268918372423_881579165341395,LIKE,10203763202110820
72,551268918372423,551268918372423_881579165341395,LIKE,10152993208689027
73,551268918372423,551268918372423_881579165341395,LIKE,819889491371805
74,551268918372423,551268918372423_881579165341395,LIKE,10204705228622544
75,551268918372423,551268918372423_881579165341395,LIKE,10202486170850152
76,551268918372423,551268918372423_881579165341395,LIKE,937071689640475
77,551268918372423,551268918372423_881579165341395,LOVE,10203695222175197
