,page_id,post_id,reaction_type,user_id
0,464171817085120,464171817085120_857626517739646,LIKE,10206540146090503
1,464171817085120,464171817085120_857626517739646,LIKE,10152380212196894
2,464171817085120,464171817085120_857626517739646,LIKE,783974628317112
3,464171817085120,464171817085120_857626517739646,LIKE,753642604727761
4,464171817085120,464171817085120_857626517739646,LIKE,1586176421602177
5,464171817085120,464171817085120_857626517739646,LIKE,288344054673962
6,464171817085120,464171817085120_857626517739646,LIKE,4759724768669
7,464171817085120,464171817085120_857626517739646,LIKE,10152362211659701
8,464171817085120,464171817085120_857626517739646,LIKE,939866486032312
9,464171817085120,464171817085120_857626517739646,LIKE,10203458333155900
10,464171817085120,464171817085120_857626517739646,LIKE,170477076658108
11,464171817085120,464171817085120_857626517739646,LOVE,1692228297759533
12,464171817085120,464171817085120_857626517739646,LIKE,703795419700168
13,464171817085120,464171817085120_857626517739646,LIKE,762706433783707
14,464171817085120,464171817085120_857626517739646,LIKE,698194276884264
15,464171817085120,464171817085120_857626517739646,LOVE,213350598762205
16,464171817085120,464171817085120_857626517739646,LOVE,10203491566626731
17,464171817085120,464171817085120_857626517739646,LIKE,10205742763357409
18,464171817085120,464171817085120_857217481113883,LIKE,10202577988524381
19,464171817085120,464171817085120_857217481113883,LIKE,477283065764433
20,464171817085120,464171817085120_857217481113883,SAD,838311189543903
21,464171817085120,464171817085120_857217481113883,LIKE,10203616137457382
22,464171817085120,464171817085120_857217481113883,LIKE,390545877964420
23,464171817085120,464171817085120_857217481113883,LIKE,742110475876162
24,464171817085120,464171817085120_857217481113883,LIKE,275215226236438
25,464171817085120,464171817085120_857217481113883,LIKE,920981444620631
26,464171817085120,464171817085120_857217481113883,LIKE,1452826078366382
27,464171817085120,464171817085120_857217481113883,LIKE,10152875830709349
28,464171817085120,464171817085120_857217481113883,LIKE,1556664637987670
29,464171817085120,464171817085120_857217481113883,LIKE,837419286279398
30,464171817085120,464171817085120_857217481113883,LIKE,10152362211659701
31,464171817085120,464171817085120_857217481113883,SAD,705337949520513
32,464171817085120,464171817085120_857217481113883,LIKE,10201881323669418
33,464171817085120,464171817085120_857217481113883,LIKE,962993407060862
34,464171817085120,464171817085120_857217481113883,LIKE,712862748752403
35,464171817085120,464171817085120_857217481113883,LIKE,905855056121952
36,464171817085120,464171817085120_857217481113883,LIKE,1633717386863767
37,464171817085120,464171817085120_857217481113883,LIKE,10204882054865642
38,464171817085120,464171817085120_857217481113883,LIKE,853303601468670
39,464171817085120,464171817085120_857217481113883,LIKE,10206189867485384
40,464171817085120,464171817085120_857217481113883,LIKE,10154048367935635
41,464171817085120,464171817085120_857217481113883,SAD,869044466473250
42,464171817085120,464171817085120_857217481113883,LIKE,380069202094211
43,464171817085120,464171817085120_857217481113883,SAD,1669992463245104
44,464171817085120,464171817085120_857217481113883,LIKE,956090437781910
45,464171817085120,464171817085120_857217481113883,LOVE,628257564032784
46,464171817085120,464171817085120_857217481113883,SAD,821611727904864
47,464171817085120,464171817085120_857217481113883,SAD,204320539971564
48,464171817085120,464171817085120_857217481113883,SAD,120796671340025
49,464171817085120,464171817085120_857217481113883,SAD,464171817085120
50,464171817085120,464171817085120_857217481113883,SAD,10154185978785263
51,464171817085120,464171817085120_857217481113883,SAD,213350598762205
52,464171817085120,464171817085120_857217481113883,LIKE,789888227698567
53,464171817085120,464171817085120_857217481113883,LOVE,363174343833870
54,464171817085120,464171817085120_857217481113883,LIKE,1493561960863952
55,464171817085120,464171817085120_857217481113883,LIKE,830242230372817
56,464171817085120,464171817085120_857217481113883,LIKE,288344054673962
57,464171817085120,464171817085120_857217481113883,LIKE,809773302421960
58,464171817085120,464171817085120_857217481113883,LIKE,10204185284404700
59,464171817085120,464171817085120_857217481113883,LIKE,963764936970262
60,464171817085120,464171817085120_857217481113883,SAD,682794948435239
61,464171817085120,464171817085120_855312391304392,LIKE,111003116141645
62,464171817085120,464171817085120_855312391304392,LIKE,830242230372817
63,464171817085120,464171817085120_855312391304392,LIKE,968216133191307
64,464171817085120,464171817085120_855312391304392,LIKE,213350598762205
65,464171817085120,464171817085120_855312391304392,LIKE,380069202094211
66,464171817085120,464171817085120_855312391304392,LIKE,1669992463245104
67,464171817085120,464171817085120_855312391304392,LIKE,956090437781910
68,464171817085120,464171817085120_855312391304392,LIKE,628257564032784
69,464171817085120,464171817085120_855312391304392,LIKE,821611727904864
70,464171817085120,464171817085120_855312391304392,LIKE,204320539971564
71,464171817085120,464171817085120_855312391304392,LIKE,120796671340025
72,464171817085120,464171817085120_855312391304392,LIKE,464171817085120
73,464171817085120,464171817085120_855312391304392,LIKE,10154185978785263
74,464171817085120,464171817085120_855312391304392,LIKE,10206189867485384
75,464171817085120,464171817085120_854846234684341,LIKE,141285789948198
76,464171817085120,464171817085120_854846234684341,LIKE,1538313879763523
77,464171817085120,464171817085120_854846234684341,LIKE,869650336394712
78,464171817085120,464171817085120_854846234684341,LIKE,10152379574381248
79,464171817085120,464171817085120_854846234684341,LIKE,1285707614783069
80,464171817085120,464171817085120_854846234684341,LIKE,120096395234626
81,464171817085120,464171817085120_854846234684341,LIKE,10206189867485384
82,464171817085120,464171817085120_854846234684341,LIKE,837689022939290
83,464171817085120,464171817085120_854846234684341,LIKE,830242230372817
84,464171817085120,464171817085120_854846234684341,LIKE,159670027153
85,464171817085120,464171817085120_854846234684341,LIKE,715494518502012
86,464171817085120,464171817085120_854846234684341,LIKE,712862748752403
87,464171817085120,464171817085120_854846234684341,LIKE,10152760538138408
88,464171817085120,464171817085120_854846234684341,LIKE,1669992463245104
89,464171817085120,464171817085120_854846234684341,LIKE,213350598762205
90,464171817085120,464171817085120_854846234684341,LIKE,956090437781910
91,464171817085120,464171817085120_854846234684341,LIKE,628257564032784
92,464171817085120,464171817085120_854846234684341,LIKE,821611727904864
93,464171817085120,464171817085120_854846234684341,LIKE,204320539971564
94,464171817085120,464171817085120_854846234684341,LIKE,120796671340025
95,464171817085120,464171817085120_854846234684341,LIKE,464171817085120
96,464171817085120,464171817085120_854846234684341,LIKE,10154185978785263
97,464171817085120,464171817085120_854846234684341,LIKE,380069202094211
98,464171817085120,464171817085120_853973438104954,LIKE,10153402024242565
99,464171817085120,464171817085120_853973438104954,LIKE,481268485358457
100,464171817085120,464171817085120_853973438104954,LIKE,380069202094211
101,464171817085120,464171817085120_853973438104954,LIKE,956090437781910
102,464171817085120,464171817085120_853973438104954,LIKE,1669992463245104
103,464171817085120,464171817085120_853973438104954,LIKE,213350598762205
104,464171817085120,464171817085120_853973438104954,LIKE,628257564032784
105,464171817085120,464171817085120_853973438104954,LIKE,821611727904864
106,464171817085120,464171817085120_853973438104954,LIKE,204320539971564
107,464171817085120,464171817085120_853973438104954,LIKE,120796671340025
108,464171817085120,464171817085120_853973438104954,LIKE,10154185978785263
109,464171817085120,464171817085120_853973438104954,LIKE,464171817085120
110,464171817085120,464171817085120_853913604777604,LIKE,390545877964420
111,464171817085120,464171817085120_853913604777604,LIKE,789888227698567
112,464171817085120,464171817085120_853913604777604,LIKE,120096395234626
113,464171817085120,464171817085120_853913604777604,LIKE,380069202094211
114,464171817085120,464171817085120_853913604777604,LIKE,1669992463245104
115,464171817085120,464171817085120_853913604777604,LIKE,213350598762205
