,page_id,post_id,reaction_type,user_id
0,220711858140080,220711858140080_640305446180717,LIKE,889905281038231
1,220711858140080,220711858140080_640305446180717,LIKE,10152337208686748
2,220711858140080,220711858140080_640305446180717,LIKE,758826037505177
3,220711858140080,220711858140080_640305446180717,LIKE,697433213626995
4,220711858140080,220711858140080_640305446180717,LIKE,745665535481656
5,220711858140080,220711858140080_640305446180717,LIKE,1030298666994931
6,220711858140080,220711858140080_640305446180717,LIKE,846522215365438
7,220711858140080,220711858140080_640305446180717,LIKE,889601521076416
8,220711858140080,220711858140080_640305446180717,LIKE,10203935290531439
9,220711858140080,220711858140080_640305446180717,LIKE,941679689189593
10,220711858140080,220711858140080_640305446180717,LIKE,10202734456701242
11,220711858140080,220711858140080_640305446180717,LIKE,994767143873030
12,220711858140080,220711858140080_640305446180717,LIKE,883795511680077
13,220711858140080,220711858140080_640305446180717,LIKE,115143242571447
14,220711858140080,220711858140080_640305446180717,LIKE,1689409361331767
15,220711858140080,220711858140080_640305446180717,LIKE,319927684827851
16,220711858140080,220711858140080_640305446180717,LIKE,889058161119285
17,220711858140080,220711858140080_640305446180717,LIKE,4624511908668
18,220711858140080,220711858140080_640305446180717,LIKE,10152616708636309
19,220711858140080,220711858140080_640305446180717,LIKE,816241628439538
20,220711858140080,220711858140080_640305446180717,LIKE,1554130881505512
21,220711858140080,220711858140080_640305446180717,LIKE,1547401368838352
22,220711858140080,220711858140080_640305446180717,LIKE,1596270183972633
23,220711858140080,220711858140080_640305446180717,LIKE,10154374061845298
24,220711858140080,220711858140080_640305446180717,LIKE,10155122849700375
25,220711858140080,220711858140080_640305446180717,LIKE,10204281884382400
26,220711858140080,220711858140080_640305446180717,LIKE,845197405531885
27,220711858140080,220711858140080_640305446180717,LIKE,10152495292278832
28,220711858140080,220711858140080_640305446180717,LIKE,389459107870971
29,220711858140080,220711858140080_640305446180717,LIKE,845010348862338
30,220711858140080,220711858140080_640305446180717,LIKE,10203109852690423
31,220711858140080,220711858140080_640305446180717,LIKE,488773507946445
32,220711858140080,220711858140080_640305446180717,WOW,10203173094830008
