,num_comments,num_reactions,num_shares,page_id,post_id
0,1,27,1,266497693552828,266497693552828_744949435707649
1,14,57,2,266497693552828,266497693552828_738688416333751
2,0,9,1,266497693552828,266497693552828_736275476575045
3,2,73,5,266497693552828,266497693552828_733382826864310
4,1,22,3,266497693552828,266497693552828_733375046865088
5,32,11191,100,266497693552828,266497693552828_732616390274287
6,16,135,10,266497693552828,266497693552828_732572423612017
7,3,38,2,266497693552828,266497693552828_732336796968913
8,3,47,3,266497693552828,266497693552828_731603367042256
