,num_comments,num_reactions,num_shares,page_id,post_id
0,0,51,12,320764744931291,320764744931291_569566213384475
1,0,24,3,320764744931291,320764744931291_567033416971088
2,2,128,5,320764744931291,320764744931291_563418500665913
3,105,276,93,320764744931291,320764744931291_561890404152056
4,0,159,5,320764744931291,320764744931291_561135227560907
5,10,202,16,320764744931291,320764744931291_560533457621084
6,1,34,6,320764744931291,320764744931291_558881544452942
7,3,80,14,320764744931291,320764744931291_558078907866539
8,1,81,6,320764744931291,320764744931291_557591334581963
9,0,14,1,320764744931291,320764744931291_557224564618640
10,12,22,6,320764744931291,320764744931291_554914441516319
11,28,204,81,320764744931291,320764744931291_554148574926239
12,0,26,2,320764744931291,320764744931291_554235448250885
13,0,64,1,320764744931291,320764744931291_553324745008622
14,1,74,10,320764744931291,320764744931291_551609428513487
15,2,51,8,320764744931291,320764744931291_551512978523132
16,0,13,1,320764744931291,320764744931291_550579965283100
17,0,26,3,320764744931291,320764744931291_549489448725485
18,0,27,2,320764744931291,320764744931291_546155202392243
19,0,19,1,320764744931291,320764744931291_545343972473366
20,0,22,2,320764744931291,320764744931291_544416442566119
21,0,29,3,320764744931291,320764744931291_541713339503096
22,4,43,21,320764744931291,320764744931291_539349086406188
23,1,80,3,320764744931291,320764744931291_537781289896301
24,0,26,3,320764744931291,320764744931291_535636993444064
25,95,344,187,320764744931291,320764744931291_534111716929925
26,1,60,2,320764744931291,320764744931291_533712553636508
